article_id,author_id,topic_id,type_id,submission_time
1,13746,72,31,"2015-01-01 00:01:14.412609"
2,3761,94,41,"2015-01-01 00:04:11.049356"
3,17863,30,31,"2015-01-01 00:29:34.334229"
4,5131,39,2,"2015-01-01 00:43:55.907851"
5,14849,9,22,"2015-01-01 01:21:04.230631"
6,10638,49,33,"2015-01-01 02:36:18.726190"
7,946,80,29,"2015-01-01 02:42:22.486977"
8,16144,57,12,"2015-01-01 03:18:24.314824"
9,12393,31,43,"2015-01-01 03:30:24.880365"
10,2814,59,31,"2015-01-01 03:31:04.541074"
11,4977,7,19,"2015-01-01 03:33:20.151781"
12,18981,93,25,"2015-01-01 03:43:11.159906"
13,12960,43,47,"2015-01-01 04:01:30.776502"
14,11346,66,14,"2015-01-01 04:01:51.882072"
15,12963,77,14,"2015-01-01 04:37:27.608001"
16,6615,57,34,"2015-01-01 04:54:59.564109"
17,7196,58,29,"2015-01-01 05:02:49.721655"
18,3612,3,29,"2015-01-01 05:14:30.373708"
19,4407,100,14,"2015-01-01 05:17:57.330641"
20,7557,19,31,"2015-01-01 05:20:06.638774"
21,11276,35,32,"2015-01-01 05:32:55.511798"
22,5722,65,47,"2015-01-01 05:34:41.637184"
23,4144,3,18,"2015-01-01 05:54:21.181200"
24,7557,52,38,"2015-01-01 05:55:53.717486"
25,15345,39,24,"2015-01-01 05:56:59.908629"
26,6225,91,43,"2015-01-01 05:58:04.607598"
27,5795,17,13,"2015-01-01 06:00:41.366795"
28,17413,59,5,"2015-01-01 06:01:09.639336"
29,15630,94,47,"2015-01-01 06:06:26.799227"
30,6439,59,2,"2015-01-01 06:14:23.370133"
31,9913,66,18,"2015-01-01 06:26:52.834402"
32,18326,64,29,"2015-01-01 06:30:43.258250"
33,13456,84,38,"2015-01-01 06:35:15.474046"
34,19374,27,29,"2015-01-01 06:39:35.696435"
35,121,55,29,"2015-01-01 06:41:54.720387"
36,946,68,13,"2015-01-01 06:42:43.082309"
37,6763,78,23,"2015-01-01 06:51:46.263512"
38,12221,64,22,"2015-01-01 06:57:21.429638"
39,17888,58,9,"2015-01-01 06:59:37.565299"
40,5720,81,4,"2015-01-01 07:07:38.056237"
41,6741,61,42,"2015-01-01 07:15:33.330657"
42,4037,61,44,"2015-01-01 07:15:59.378801"
43,15957,36,18,"2015-01-01 07:18:19.846396"
44,12954,30,45,"2015-01-01 07:24:18.493316"
45,16144,61,22,"2015-01-01 07:27:13.018431"
46,7903,2,21,"2015-01-01 07:33:51.251847"
47,7903,26,4,"2015-01-01 07:39:28.887121"
48,1871,11,46,"2015-01-01 07:49:26.549690"
49,1518,7,22,"2015-01-01 07:51:03.233070"
50,11346,66,24,"2015-01-01 07:52:21.938955"
51,10792,9,19,"2015-01-01 07:56:40.848567"
52,8088,59,31,"2015-01-01 07:59:34.216482"
53,16410,78,20,"2015-01-01 08:00:23.953715"
54,12521,27,29,"2015-01-01 08:07:23.292138"
55,19043,66,29,"2015-01-01 08:11:07.165737"
56,12104,8,31,"2015-01-01 08:11:38.059237"
57,14495,91,20,"2015-01-01 08:20:50.285263"
58,5366,62,31,"2015-01-01 08:24:31.332500"
59,10320,38,15,"2015-01-01 08:26:48.169032"
60,8527,29,20,"2015-01-01 08:27:07.530302"
61,2922,74,41,"2015-01-01 08:27:31.964120"
62,14810,8,12,"2015-01-01 08:30:03.688721"
63,190,77,47,"2015-01-01 08:33:02.051973"
64,5266,8,48,"2015-01-01 08:34:10.154112"
65,10314,77,22,"2015-01-01 08:34:49.459665"
66,18587,72,22,"2015-01-01 08:37:35.202464"
67,895,59,43,"2015-01-01 08:38:31.460166"
68,17351,7,18,"2015-01-01 08:40:16.921046"
69,7241,23,36,"2015-01-01 08:42:42.073739"
70,16410,57,31,"2015-01-01 08:45:50.794177"
71,9932,82,41,"2015-01-01 08:46:34.843894"
72,12104,77,2,"2015-01-01 08:49:47.851464"
73,14551,61,19,"2015-01-01 08:54:15.097408"
74,5223,52,48,"2015-01-01 08:59:12.945350"
75,14386,27,44,"2015-01-01 09:14:39.681533"
76,7196,27,1,"2015-01-01 09:15:05.688346"
77,5827,41,1,"2015-01-01 09:25:36.492594"
78,18134,3,34,"2015-01-01 09:27:04.145060"
79,6791,39,24,"2015-01-01 09:29:36.948348"
80,4057,103,17,"2015-01-01 09:34:00.909311"
81,8232,8,17,"2015-01-01 09:35:42.640893"
82,17294,59,23,"2015-01-01 09:36:56.779541"
83,12967,81,29,"2015-01-01 09:51:56.261880"
84,15957,27,38,"2015-01-01 09:52:32.838924"
85,13467,39,34,"2015-01-01 09:58:51.384803"
86,18961,24,34,"2015-01-01 10:01:52.042001"
87,19668,58,35,"2015-01-01 10:02:29.301736"
88,16410,78,1,"2015-01-01 10:09:58.306659"
89,11276,52,34,"2015-01-01 10:12:09.425015"
90,1870,3,4,"2015-01-01 10:14:45.055222"
91,435,52,29,"2015-01-01 10:20:30.243154"
92,9569,4,17,"2015-01-01 10:23:43.524079"
93,16410,39,37,"2015-01-01 10:27:59.729633"
94,12104,9,45,"2015-01-01 10:38:04.715379"
95,10352,52,28,"2015-01-01 10:45:50.156186"
96,12249,26,2,"2015-01-01 10:48:38.749609"
97,4161,4,15,"2015-01-01 11:07:53.287350"
98,13224,59,1,"2015-01-01 11:08:57.996881"
99,5224,78,43,"2015-01-01 11:17:43.938729"
100,14708,80,47,"2015-01-01 11:21:24.333287"
101,11520,30,44,"2015-01-01 11:23:06.675342"
102,1547,26,22,"2015-01-01 11:25:27.666855"
103,2271,48,19,"2015-01-01 11:28:50.408401"
104,6804,28,49,"2015-01-01 11:31:48.575143"
105,6064,100,24,"2015-01-01 11:34:04.489693"
106,4190,65,5,"2015-01-01 11:34:39.002440"
107,8088,77,22,"2015-01-01 11:35:49.280501"
108,534,39,30,"2015-01-01 11:37:07.577345"
109,12121,39,5,"2015-01-01 11:40:14.188992"
110,1518,77,20,"2015-01-01 11:44:02.812098"
111,12455,58,48,"2015-01-01 11:48:18.402366"
112,10351,79,4,"2015-01-01 11:51:07.147103"
113,7089,1,4,"2015-01-01 11:55:44.038795"
114,19948,65,35,"2015-01-01 12:00:57.233119"
115,5109,24,1,"2015-01-01 12:00:58.047539"
116,9000,77,22,"2015-01-01 12:09:28.008683"
117,18671,93,31,"2015-01-01 12:10:18.827848"
118,5224,65,15,"2015-01-01 12:14:43.088516"
119,17359,74,22,"2015-01-01 12:15:39.574550"
120,11970,8,18,"2015-01-01 12:22:50.791461"
121,250,103,35,"2015-01-01 12:27:09.877252"
122,7089,18,25,"2015-01-01 12:35:18.791487"
123,9076,78,1,"2015-01-01 12:35:55.719905"
124,3664,95,48,"2015-01-01 12:38:12.491405"
125,14826,14,24,"2015-01-01 12:40:01.715102"
126,2117,20,38,"2015-01-01 12:40:02.328875"
127,14386,39,29,"2015-01-01 12:40:10.587348"
128,10690,28,18,"2015-01-01 12:42:34.071607"
129,9076,41,31,"2015-01-01 12:44:04.258731"
130,10200,3,17,"2015-01-01 12:44:59.587907"
131,481,60,42,"2015-01-01 12:45:10.535485"
132,5771,30,29,"2015-01-01 12:47:14.542820"
133,18380,18,22,"2015-01-01 12:50:57.094605"
134,14849,91,23,"2015-01-01 12:55:41.785478"
135,12121,39,25,"2015-01-01 13:00:09.427579"
136,3790,100,41,"2015-01-01 13:00:41.197510"
137,1123,31,42,"2015-01-01 13:00:49.064533"
138,5795,41,24,"2015-01-01 13:04:01.192574"
139,7612,106,32,"2015-01-01 13:05:27.442384"
140,12960,39,34,"2015-01-01 13:07:58.995305"
141,13702,39,45,"2015-01-01 13:08:45.103871"
142,16820,48,24,"2015-01-01 13:12:03.259837"
143,12963,96,19,"2015-01-01 13:18:24.451773"
144,5092,106,36,"2015-01-01 13:26:30.301909"
145,12963,28,41,"2015-01-01 13:27:15.952004"
146,12104,39,49,"2015-01-01 13:28:42.715315"
147,13704,95,12,"2015-01-01 13:32:08.611769"
148,11532,61,14,"2015-01-01 13:35:08.370268"
149,18478,8,30,"2015-01-01 13:36:15.568704"
150,6225,39,43,"2015-01-01 13:38:45.418536"
151,11807,65,31,"2015-01-01 13:39:19.603271"
152,7557,87,45,"2015-01-01 13:51:01.917022"
153,14849,61,36,"2015-01-01 13:51:30.513767"
154,19668,100,12,"2015-01-01 13:56:25.988101"
155,17909,30,26,"2015-01-01 13:58:02.605375"
156,19792,78,29,"2015-01-01 14:00:24.720475"
157,19541,26,44,"2015-01-01 14:13:54.779052"
158,699,58,24,"2015-01-01 14:14:56.696389"
159,7196,81,31,"2015-01-01 14:17:19.161748"
160,10314,64,12,"2015-01-01 14:19:36.864242"
161,12963,59,31,"2015-01-01 14:27:55.423441"
162,3110,28,33,"2015-01-01 14:28:52.468718"
163,7150,52,2,"2015-01-01 14:31:02.551934"
164,18796,77,22,"2015-01-01 14:35:36.133476"
165,16820,82,36,"2015-01-01 14:40:24.393164"
166,5386,100,4,"2015-01-01 14:47:46.455189"
167,340,14,29,"2015-01-01 14:47:52.709022"
168,7241,24,9,"2015-01-01 14:51:12.202639"
169,4759,1,45,"2015-01-01 14:52:26.335033"
170,12501,48,48,"2015-01-01 14:59:15.352656"
171,699,27,29,"2015-01-01 14:59:39.897388"
172,15957,48,29,"2015-01-01 15:01:34.260636"
173,2790,78,26,"2015-01-01 15:07:08.809720"
174,12963,77,33,"2015-01-01 15:08:04.064346"
175,946,91,13,"2015-01-01 15:09:33.957804"
176,11346,91,1,"2015-01-01 15:11:08.128257"
177,10320,29,48,"2015-01-01 15:15:55.266595"
178,15705,103,29,"2015-01-01 15:23:09.766102"
179,8612,84,13,"2015-01-01 15:23:54.820151"
180,4675,1,34,"2015-01-01 15:26:39.304063"
181,6685,14,15,"2015-01-01 15:26:50.631993"
182,19481,78,45,"2015-01-01 15:30:01.104007"
183,4220,37,45,"2015-01-01 15:42:26.105592"
184,5109,103,42,"2015-01-01 15:44:56.799083"
185,6741,39,5,"2015-01-01 15:48:45.151286"
186,13064,54,1,"2015-01-01 15:50:28.968866"
187,170,80,43,"2015-01-01 15:51:23.917224"
188,19481,44,29,"2015-01-01 16:14:00.120907"
189,3790,3,41,"2015-01-01 16:16:15.715828"
190,18820,55,45,"2015-01-01 16:18:21.120867"
191,9913,9,14,"2015-01-01 16:19:00.348258"
192,4375,28,9,"2015-01-01 16:23:34.871120"
193,485,60,29,"2015-01-01 16:24:10.195205"
194,17169,55,12,"2015-01-01 16:29:26.110719"
195,5049,91,20,"2015-01-01 16:30:35.700867"
196,17718,76,20,"2015-01-01 16:38:22.878801"
197,5722,27,49,"2015-01-01 16:40:17.753474"
198,5722,94,29,"2015-01-01 16:47:15.020072"
199,12963,96,25,"2015-01-01 16:55:20.008620"
200,12221,96,45,"2015-01-01 17:03:41.205261"
201,9674,30,24,"2015-01-01 17:11:18.665270"
202,7863,52,9,"2015-01-01 17:12:35.290347"
203,9076,70,6,"2015-01-01 17:21:57.068122"
204,13704,80,31,"2015-01-01 17:23:06.513299"
205,798,94,23,"2015-01-01 17:28:56.236504"
206,3553,8,15,"2015-01-01 17:30:37.687770"
207,1189,1,5,"2015-01-01 17:30:46.534598"
208,17359,1,38,"2015-01-01 18:07:11.270796"
209,19668,96,44,"2015-01-01 18:08:37.298922"
210,10049,23,40,"2015-01-01 18:11:56.303838"
211,16410,28,29,"2015-01-01 18:19:07.523634"
212,14386,16,29,"2015-01-01 18:19:10.313500"
213,17764,92,34,"2015-01-01 18:33:52.656443"
214,258,41,23,"2015-01-01 18:34:01.231957"
215,13530,66,38,"2015-01-01 18:46:09.383121"
216,13702,66,40,"2015-01-01 18:46:10.989477"
217,17169,77,18,"2015-01-01 18:55:00.784395"
218,17423,7,49,"2015-01-01 18:56:20.937220"
219,12501,50,14,"2015-01-01 19:02:05.989876"
220,19659,44,28,"2015-01-01 19:23:49.739798"
221,11276,27,23,"2015-01-01 19:34:44.024182"
222,7463,18,2,"2015-01-01 19:36:51.122961"
223,1189,83,37,"2015-01-01 19:59:04.656552"
224,10365,3,35,"2015-01-01 20:18:05.650845"
225,13530,82,2,"2015-01-01 20:28:59.679663"
226,14810,80,35,"2015-01-01 20:42:36.431874"
227,11140,28,9,"2015-01-01 21:10:05.524086"
228,9328,57,24,"2015-01-01 21:12:02.187779"
229,19308,78,36,"2015-01-01 21:33:24.384749"
230,13313,43,1,"2015-01-01 21:56:28.511138"
231,10739,64,43,"2015-01-01 22:16:41.772292"
232,5722,88,29,"2015-01-01 22:22:28.637661"
233,12954,48,1,"2015-01-01 22:53:01.214091"
234,4190,59,49,"2015-01-01 23:08:12.997346"
235,13456,6,49,"2015-01-01 23:19:11.801507"
236,14007,48,5,"2015-01-01 23:34:11.268958"
237,9712,54,38,"2015-01-01 23:38:11.797740"
238,18299,60,34,"2015-01-01 23:40:49.768571"
239,14362,57,42,"2015-01-01 23:44:15.451808"
240,1548,58,34,"2015-01-01 23:52:13.011521"
241,9153,27,28,"2015-01-02 01:06:50.885523"
242,12970,51,28,"2015-01-02 01:18:14.177148"
243,2228,85,49,"2015-01-02 01:32:57.578537"
244,3553,26,48,"2015-01-02 02:12:37.232389"
245,13467,43,18,"2015-01-02 02:18:19.254715"
246,4379,57,37,"2015-01-02 02:29:32.182503"
247,10351,3,9,"2015-01-02 03:23:59.432080"
248,13129,57,2,"2015-01-02 03:24:10.696444"
249,3696,41,22,"2015-01-02 03:31:05.662389"
250,9153,65,23,"2015-01-02 03:31:57.159848"
251,13467,48,29,"2015-01-02 03:34:00.153026"
252,3873,74,49,"2015-01-02 03:36:39.003398"
253,14831,28,13,"2015-01-02 04:11:42.967415"
254,18775,103,42,"2015-01-02 04:16:06.605002"
255,16144,85,31,"2015-01-02 04:37:07.684434"
256,17731,78,31,"2015-01-02 04:37:28.946865"
257,7557,14,29,"2015-01-02 04:39:22.323919"
258,2283,43,42,"2015-01-02 05:13:27.004524"
259,3316,104,18,"2015-01-02 05:22:54.520268"
260,19786,84,14,"2015-01-02 05:24:44.407109"
261,17888,72,44,"2015-01-02 05:30:16.871449"
262,9913,62,34,"2015-01-02 05:30:21.463668"
263,4977,8,44,"2015-01-02 05:54:26.135023"
264,2117,33,34,"2015-01-02 06:03:25.839581"
265,3544,1,48,"2015-01-02 06:07:35.068406"
