topic_id,name
1,Advertising
2,Auditing
3,Banks
4,Biography
5,Bonds
6,Bookkeeping
7,Budgeting
8,"Business Development"
9,"Business Ethics"
10,"Business Fashion"
11,"Career Advice"
12,College
13,Commodities
14,"Company Profile"
15,"Conflict Resolution"
16,Consulting
17,"Consumer Behavior"
18,"Corporate Finance"
19,"Corporate Governance"
20,"Corporate Tax"
21,CPA
22,"Crowd Funding"
23,"Customer Service"
24,"Decision Making"
25,"Direct Marketing"
26,E-Commerce
27,"Economic History"
28,Entrepreneurship
29,"Exports & Imports"
30,"Financial Accounting"
31,"Foreign Exchange"
32,Franchises
33,"Free Enterprise"
34,"Futures Trading"
35,GMAT
36,"Government & Business"
37,"Governmental Accounting"
38,"Green Business"
39,"Growth Hacking"
40,"Income Inequality"
41,"Industry: Agriculture"
42,"Industry: Automotive"
43,"Industry: Energy"
44,"Industry: Entertainment"
45,"Industry: Fashion"
46,"Industry: Media"
47,"Industry: Pharmaceutical"
48,"Industry: Retailing"
49,"Industry: Service"
50,"Industry: Transportation"
51,Inflation
52,Insurance
53,Interest
54,"International Accounting"
55,Interviewing
56,"Inudstry: Technology"
57,"Job Hunting"
58,"Labor & Industrial Relations"
59,Leadership
60,Macroeconomics
61,"Management Science"
62,"Managerial Accounting"
63,"Mentoring & Coaching"
64,Microeconomics
65,Mortgages
66,Motivational
67,"Mutual Funds"
68,Negotiation
69,"Non Profit Careers"
70,"Office Automation"
71,"Online Trading"
72,Operations
73,Options
74,"Organizational Learning"
75,Outsourcing
76,"Personal Tax"
77,"Personnel Management"
78,"Planning & Forecasting"
79,Pricing
80,"Problem Solving"
81,"Public Finance"
82,"Public Relations"
83,"Purchasing & Buying"
84,"Quality Control"
85,"Real Estate"
86,"Research & Development"
87,Resumes
88,"Retirement Planning"
89,"Risk Management"
90,Sales
91,Self-Improvement
92,"Small Business Tax"
93,Statistics
94,Stocks
95,Strategy
96,"Sustainable Development"
97,Telemarketing
98,"Time Management"
99,Training
100,Unemployment
101,"Warehouse Management"
102,"Wealth Management"
103,"Web Marketing"
104,"Women & Business"
105,"Work Life Balance"
106,"Workplace Cultlure"
